mode,severity,accuracy_mean,accuracy_ci_low,accuracy_ci_high,macro_f1_mean,macro_f1_ci_low,macro_f1_ci_high,temporal_stability_mean,temporal_stability_ci_low,temporal_stability_ci_high
dataset_only,low,71.75925925925925,71.75925925925925,71.75925925925925,31.30262869393304,31.30262869393304,31.30262869393304,32.967032967032964,32.967032967032964,32.967032967032964
dataset_only,high,71.75925925925925,71.75925925925925,71.75925925925925,31.30262869393304,31.30262869393304,31.30262869393304,32.967032967032964,32.967032967032964,32.967032967032964
synthetic_only,low,77.01465201465201,76.92307692307693,77.06043956043956,10.259433177307573,9.661835748792273,10.558231891565223,0.3968253968253968,0.0,0.5952380952380952
synthetic_only,high,76.24983041649709,70.37037037037037,79.25824175824175,26.220051226262328,20.380785735116444,37.49046015712682,19.368131868131872,9.523809523809524,38.46153846153847
hybrid,low,75.81214689265536,75.74152542372882,75.84745762711864,21.897037951666054,21.70106374114944,21.995025056924362,11.840411840411841,11.583011583011583,11.96911196911197
hybrid,high,77.4364406779661,77.33050847457628,77.54237288135593,26.062401074936798,25.85091467855729,26.272023696496763,17.760617760617762,17.374517374517374,18.146718146718147
