mode,severity,accuracy_mean,accuracy_ci_low,accuracy_ci_high,macro_f1_mean,macro_f1_ci_low,macro_f1_ci_high,temporal_stability_mean,temporal_stability_ci_low,temporal_stability_ci_high
dataset_only,low,71.75925925925925,71.75925925925925,71.75925925925925,31.302628693933034,31.302628693933034,31.302628693933034,32.967032967032964,32.967032967032964,32.967032967032964
dataset_only,high,71.75925925925925,71.75925925925925,71.75925925925925,31.30262869393304,31.30262869393304,31.30262869393304,32.967032967032964,32.967032967032964,32.967032967032964
synthetic_only,low,73.66961741961742,71.46248812915479,75.89964048297382,23.72554731008837,14.449339173976854,33.00175544619989,19.329975579975585,6.50946275946276,32.150488400488406
synthetic_only,high,70.37037037037037,70.37037037037037,70.37037037037037,37.49046015712682,37.49046015712682,37.49046015712682,38.46153846153847,38.46153846153847,38.46153846153847
hybrid,low,71.16402116402116,71.16402116402116,71.16402116402116,33.72894221526921,33.72894221526921,33.72894221526921,35.50295857988166,35.50295857988166,35.50295857988166
hybrid,high,71.16402116402116,71.16402116402116,71.16402116402116,33.72894221526921,33.72894221526921,33.72894221526921,35.50295857988166,35.50295857988166,35.50295857988166
